Percentage served,Time in ms
0,7581.128
1,7689.393
2,7889.340
3,8700.047
4,8906.858
5,9100.918
6,9510.548
7,9713.158
8,10206.989
9,10209.699
10,10292.562
11,10300.711
12,10411.758
13,10595.176
14,10791.839
15,10799.315
16,10895.047
17,10900.496
18,11021.207
19,11291.217
20,11300.496
21,11394.963
22,11402.324
23,11483.119
24,11498.595
25,11501.368
26,11596.806
27,11698.970
28,11796.312
29,11885.059
30,11896.946
31,11898.400
32,11902.292
33,11977.723
34,11994.013
35,11997.560
36,12009.466
37,12097.887
38,12103.014
39,12106.481
40,12218.275
41,12294.784
42,12379.978
43,12395.123
44,12398.898
45,12406.400
46,12494.640
47,12507.570
48,12597.315
49,12616.387
50,12693.750
51,12702.895
52,12803.021
53,12803.722
54,12895.017
55,12895.392
56,12896.090
57,12912.603
58,12998.302
59,13003.905
60,13004.418
61,13103.093
62,13193.206
63,13196.754
64,13202.127
65,13203.747
66,13210.543
67,13289.983
68,13296.580
69,13310.535
70,13386.236
71,13392.493
72,13496.374
73,13500.994
74,13502.069
75,13680.753
76,13802.317
77,13890.139
78,13896.772
79,13897.040
80,13900.047
81,13982.716
82,14393.162
83,14404.673
84,14498.889
85,14501.854
86,14599.727
87,14696.517
88,14704.261
89,15390.491
90,15400.548
91,15599.804
92,15613.034
93,15693.446
94,15800.455
95,15994.304
96,16100.812
97,16904.364
98,16999.968
99,17012.228
100,17012.228
