Percentage served,Time in ms
0,83.103
1,83.986
2,87.824
3,90.710
4,104.171
5,111.527
6,114.624
7,115.830
8,118.121
9,118.187
10,118.703
11,118.773
12,120.059
13,120.178
14,120.725
15,121.008
16,121.984
17,122.703
18,123.513
19,123.804
20,123.949
21,124.904
22,125.178
23,125.225
24,125.416
25,125.674
26,126.394
27,127.220
28,127.248
29,127.414
30,128.007
31,128.215
32,128.406
33,128.540
34,128.645
35,128.690
36,128.728
37,129.176
38,129.189
39,129.288
40,129.437
41,129.596
42,129.738
43,129.775
44,129.810
45,129.971
46,130.435
47,130.558
48,130.623
49,130.684
50,130.912
51,131.044
52,131.090
53,131.291
54,131.659
55,131.805
56,131.906
57,132.121
58,132.142
59,132.169
60,132.223
61,132.332
62,133.655
63,134.025
64,134.409
65,134.665
66,136.416
67,136.852
68,136.965
69,137.648
70,138.501
71,138.618
72,140.001
73,140.387
74,140.399
75,141.423
76,143.840
77,146.463
78,149.878
79,152.752
80,153.416
81,157.169
82,163.617
83,166.877
84,1604.458
85,2747.351
86,3081.565
87,3710.804
88,4185.767
89,4743.906
90,60493.893
91,61054.087
92,61524.495
93,62446.298
94,63595.221
95,65061.077
96,65061.139
97,65061.329
98,65062.107
99,65062.782
100,65062.782
