Percentage served,Time in ms
0,34384.192
1,34502.765
2,36505.096
3,37101.572
4,37106.994
5,57402.684
6,58099.121
7,58704.458
8,61304.805
9,61692.511
10,62507.216
11,62507.216
12,62898.370
13,62902.304
14,64298.254
15,64796.324
16,64805.159
17,66202.856
18,67597.806
19,68689.752
20,68999.796
21,69103.395
22,69395.881
23,69803.137
24,69942.289
25,70100.019
26,70498.917
27,70510.799
28,70646.803
29,70909.548
30,71944.305
31,71944.305
32,72049.701
33,72496.260
34,73997.647
35,74003.710
36,74096.856
37,74299.282
38,74990.367
39,75803.823
40,75843.794
41,77400.370
42,77805.535
43,78412.428
44,78806.690
45,79791.483
46,81600.596
47,81799.759
48,81892.615
49,82102.342
50,82701.853
51,82701.853
52,82789.712
53,83000.054
54,83203.421
55,83390.199
56,83400.801
57,83900.895
58,83908.124
59,83908.986
60,83997.032
61,84002.056
62,85397.853
63,86402.188
64,86508.614
65,86598.830
66,86895.642
67,87404.543
68,88291.547
69,88390.860
70,88506.509
71,88506.509
72,88599.241
73,88794.548
74,89192.682
75,89396.497
76,89404.519
77,89497.020
78,89578.719
79,90194.874
80,90295.230
81,90499.701
82,90702.774
83,91095.288
84,91100.941
85,91298.318
86,91393.592
87,91397.842
88,91403.959
89,91695.230
90,92102.079
91,92102.079
92,92404.292
93,92896.332
94,94311.471
95,94409.448
96,94694.363
97,94699.637
98,95602.551
99,97890.519
100,97890.519
