Percentage served,Time in ms
0,20507.703
1,22253.821
2,26991.855
3,28411.477
4,28603.278
5,28893.935
6,29197.169
7,29699.848
8,30393.244
9,30924.372
10,31596.300
11,31843.719
12,31880.260
13,31906.157
14,32396.829
15,32615.115
16,33193.514
17,33487.670
18,33691.726
19,33876.232
20,34402.877
21,34606.027
22,34888.418
23,35111.305
24,35191.842
25,35540.595
26,35596.864
27,35848.790
28,35955.893
29,35997.367
30,36099.101
31,36713.092
32,37205.759
33,37305.973
34,37438.157
35,37603.790
36,37698.149
37,37902.643
38,38400.175
39,38524.414
40,38542.403
41,38716.353
42,39093.277
43,39197.957
44,39203.200
45,39294.377
46,39297.783
47,39398.633
48,39487.921
49,39576.670
50,39690.620
51,39788.915
52,39815.872
53,39903.132
54,39980.059
55,39999.832
56,40298.793
57,40323.516
58,40492.488
59,40599.705
60,40601.715
61,40603.109
62,40700.366
63,40702.574
64,40795.908
65,40885.656
66,40901.574
67,40995.646
68,41003.042
69,41102.981
70,41103.848
71,41203.353
72,41215.741
73,41394.355
74,41501.165
75,41585.315
76,41599.768
77,41632.398
78,41810.313
79,41896.343
80,41917.249
81,42069.104
82,42108.129
83,42115.915
84,42116.749
85,42198.635
86,42216.000
87,42221.177
88,42299.574
89,42494.313
90,42585.291
91,42904.631
92,42989.475
93,43141.550
94,43298.743
95,43395.472
96,43798.174
97,43885.898
98,45800.792
99,48495.945
100,48495.945
