Percentage served,Time in ms
0,150305.290
1,150614.651
2,152949.548
3,163695.995
4,166624.943
5,166705.777
6,166722.367
7,168168.884
8,168997.113
9,169173.327
10,170473.409
11,170743.413
12,171944.548
13,172315.196
14,174215.045
15,176018.167
16,176900.727
17,176962.699
18,177652.201
19,178317.409
20,178988.542
21,179756.217
22,179944.106
23,180040.604
24,181564.487
25,182536.284
26,182586.942
27,182716.803
28,183425.159
29,183788.541
30,184997.542
31,185791.283
32,186263.636
33,186605.952
34,187526.710
35,188876.231
36,189007.810
37,189361.347
38,190392.085
39,190877.256
40,190890.149
41,190936.441
42,193813.344
43,194570.027
44,196030.788
45,196487.837
46,196882.652
47,198244.095
48,198418.203
49,198559.878
50,198665.632
51,199216.456
52,199516.955
53,200504.064
54,202582.951
55,204359.874
56,206249.591
57,206709.785
58,207028.442
59,207085.543
60,208284.059
61,209666.062
62,210585.085
63,210678.145
64,210804.652
65,212518.023
66,212609.354
67,212895.347
68,212903.469
69,215681.693
70,218077.980
71,220311.476
72,222274.213
73,224103.271
74,224871.461
75,225340.209
76,228975.280
77,229442.718
78,230856.637
79,231566.404
80,232699.172
81,234123.467
82,239225.018
83,239941.746
84,242735.654
85,245396.134
86,249603.047
87,250626.936
88,253821.612
89,265020.527
90,267480.674
91,268092.302
92,268188.881
93,268235.752
94,268236.089
95,268314.576
96,277958.336
97,289896.280
98,291569.231
99,291665.302
100,291665.302
