Percentage served,Time in ms
0,72539.095
1,124462.129
2,129051.071
3,157899.741
4,157970.975
5,159514.194
6,162284.664
7,163586.959
8,163617.279
9,164124.714
10,164897.301
11,165695.438
12,165740.810
13,168574.595
14,170022.251
15,170505.617
16,171301.730
17,171641.342
18,172199.747
19,173705.704
20,173808.746
21,174375.728
22,174695.912
23,175391.431
24,175950.250
25,175969.712
26,176890.840
27,177479.768
28,178686.753
29,178906.110
30,179831.555
31,180974.474
32,182479.135
33,182838.931
34,182934.008
35,183331.189
36,184298.833
37,185286.106
38,187802.523
39,188206.646
40,189910.221
41,189983.742
42,190417.704
43,190722.570
44,191227.281
45,191842.365
46,192590.918
47,192653.691
48,192986.335
49,193203.640
50,193386.009
51,193652.419
52,194698.092
53,195993.270
54,196402.055
55,196802.192
56,197299.479
57,197506.193
58,198249.100
59,198669.475
60,200362.347
61,202235.242
62,203015.234
63,204491.706
64,204701.415
65,204862.233
66,205120.570
67,205302.491
68,206411.800
69,206583.157
70,208210.174
71,208880.867
72,208930.342
73,209099.201
74,210261.689
75,212410.771
76,212499.606
77,212815.750
78,214186.611
79,215733.396
80,215863.387
81,216253.722
82,217278.963
83,217312.714
84,219991.849
85,223492.027
86,224084.718
87,227633.822
88,229516.040
89,229857.531
90,230949.869
91,231785.474
92,233805.802
93,237798.796
94,240831.731
95,247793.571
96,248386.178
97,249015.000
98,249584.525
99,259389.790
100,259389.790
