Percentage served,Time in ms
0,41399.305
1,42987.775
2,44659.762
3,49408.356
4,50018.647
5,50495.714
6,52111.871
7,52293.115
8,52420.433
9,52712.048
10,53195.739
11,53913.753
12,54108.588
13,54306.553
14,54414.124
15,54491.744
16,54719.039
17,54723.827
18,55186.300
19,55618.719
20,55721.037
21,56132.359
22,57284.662
23,57902.984
24,58914.380
25,59009.857
26,59227.378
27,59320.720
28,59495.339
29,59983.438
30,60092.729
31,60693.042
32,60711.347
33,61286.708
34,61425.056
35,61474.024
36,61477.999
37,61490.335
38,61492.579
39,61789.690
40,62201.685
41,62504.127
42,62628.227
43,62900.702
44,63013.616
45,63787.289
46,63872.624
47,63992.551
48,64089.108
49,64200.545
50,64494.320
51,64708.177
52,65744.477
53,65971.028
54,66019.923
55,66102.063
56,66280.381
57,66502.810
58,66532.652
59,66587.366
60,66706.393
61,67086.326
62,67319.720
63,67919.007
64,68692.270
65,69201.608
66,69589.418
67,69684.334
68,69797.744
69,69927.200
70,70005.855
71,70196.147
72,70205.747
73,70327.233
74,70811.626
75,70878.375
76,71097.661
77,71219.762
78,71405.477
79,71587.122
80,72088.444
81,72197.897
82,72525.170
83,72626.696
84,72991.052
85,73282.144
86,73430.765
87,73817.527
88,74703.803
89,75021.818
90,76370.541
91,77764.218
92,78090.755
93,78181.830
94,78919.390
95,79385.660
96,86794.057
97,88912.548
98,89612.060
99,97877.230
100,97877.230
