Percentage served,Time in ms
0,86898.391
1,88092.487
2,91705.825
3,95678.194
4,96007.498
5,97816.759
6,98583.749
7,100687.738
8,102716.338
9,104091.092
10,104301.599
11,104493.652
12,105007.689
13,105320.465
14,105628.030
15,105655.284
16,108995.971
17,109687.836
18,111000.520
19,111026.584
20,111599.318
21,113792.137
22,114004.887
23,115201.500
24,116592.275
25,117594.477
26,117989.552
27,119193.824
28,119503.918
29,119695.299
30,119914.624
31,121050.586
32,121894.160
33,122949.545
34,123628.255
35,123780.815
36,123870.855
37,123920.564
38,124298.462
39,124796.255
40,124800.872
41,124887.838
42,125092.495
43,125801.096
44,126798.864
45,127696.745
46,129166.497
47,129719.936
48,129725.860
49,130339.328
50,130613.486
51,131209.038
52,131682.921
53,132024.099
54,132032.994
55,132501.505
56,133305.607
57,133590.165
58,134801.093
59,134898.764
60,135007.845
61,135193.949
62,135594.286
63,136109.439
64,136240.751
65,137202.562
66,137816.014
67,139588.362
68,139604.171
69,141994.839
70,142103.884
71,142404.183
72,142444.607
73,143502.847
74,143898.416
75,145985.862
76,146814.322
77,147340.607
78,147821.120
79,148203.966
80,150093.457
81,152625.349
82,154612.375
83,159004.661
84,159408.955
85,160787.217
86,163895.705
87,165883.326
88,169090.457
89,171073.554
90,172519.864
91,173311.552
92,176879.481
93,180278.293
94,186392.928
95,189102.875
96,189607.748
97,197482.985
98,202493.266
99,206496.041
100,206496.041
