Percentage served,Time in ms
0,99869.261
1,100460.332
2,101050.631
3,102039.116
4,102124.460
5,104646.796
6,106052.887
7,107152.623
8,110795.823
9,111709.864
10,112058.899
11,113598.216
12,116968.353
13,118214.423
14,118599.319
15,118702.886
16,119492.047
17,119613.756
18,121434.583
19,122907.788
20,123814.351
21,124199.509
22,124692.413
23,125498.246
24,126570.566
25,126599.422
26,126691.618
27,127284.149
28,127998.487
29,128606.614
30,129308.630
31,130203.291
32,131097.694
33,131692.991
34,132088.653
35,132727.359
36,132793.562
37,133314.762
38,133501.890
39,134011.606
40,134022.337
41,134090.017
42,135175.693
43,135602.688
44,135722.547
45,136483.661
46,136801.731
47,136992.739
48,137975.911
49,138023.686
50,138098.954
51,138580.045
52,138718.059
53,138964.046
54,139012.065
55,139182.484
56,139316.481
57,139808.876
58,140482.169
59,140817.731
60,141095.713
61,141100.802
62,141295.204
63,141905.274
64,142211.498
65,143220.918
66,143299.562
67,143377.477
68,143913.889
69,144421.598
70,144778.649
71,145980.849
72,146294.804
73,146990.757
74,147498.832
75,147597.166
76,147715.076
77,148074.623
78,148197.212
79,148778.020
80,149291.286
81,150294.527
82,150590.636
83,151597.775
84,151605.384
85,151685.756
86,152392.706
87,152625.581
88,153288.022
89,153596.255
90,154002.886
91,154207.991
92,156790.733
93,157682.373
94,159184.313
95,162196.009
96,167228.270
97,170710.954
98,174487.693
99,178992.756
100,178992.756
