Percentage served,Time in ms
0,23493.769
1,24296.287
2,24422.218
3,25294.448
4,26003.126
5,26116.497
6,26388.724
7,26502.296
8,26597.818
9,26690.138
10,26794.280
11,27293.658
12,27680.333
13,27712.312
14,27883.661
15,27886.665
16,28004.034
17,28089.180
18,28106.173
19,28298.310
20,28394.322
21,28595.600
22,28725.219
23,28894.517
24,29000.694
25,29112.214
26,29121.407
27,29189.860
28,29193.147
29,29207.390
30,29284.506
31,29291.418
32,29519.010
33,29993.634
34,29995.211
35,30042.105
36,30110.277
37,30165.755
38,30206.620
39,30420.842
40,30492.554
41,30498.549
42,30510.475
43,30788.548
44,30789.808
45,30901.645
46,30908.110
47,31098.657
48,31200.784
49,31208.119
50,31397.790
51,31400.733
52,31601.413
53,31614.130
54,31706.193
55,31784.747
56,31802.632
57,31804.062
58,31813.174
59,31890.753
60,31911.713
61,31988.595
62,32086.435
63,32100.779
64,32200.749
65,32401.035
66,32512.458
67,32547.451
68,32573.799
69,32598.774
70,32680.749
71,32696.253
72,32804.423
73,32804.855
74,32877.758
75,32902.156
76,33095.965
77,33105.374
78,33202.472
79,33319.108
80,33593.467
81,33595.284
82,33595.762
83,33807.799
84,34085.746
85,34103.376
86,34114.101
87,34490.994
88,34653.396
89,34706.585
90,35262.950
91,35400.252
92,35610.092
93,35828.006
94,36112.586
95,36355.913
96,36559.675
97,36569.898
98,37897.484
99,38125.811
100,38125.811
