Percentage served,Time in ms
0,39202.158
1,47600.316
2,50000.428
3,51703.192
4,52702.065
5,52801.027
6,53498.309
7,53799.797
8,54098.947
9,55299.837
10,57099.552
11,57797.563
12,57996.834
13,59099.658
14,60499.332
15,61898.632
16,62698.475
17,62799.720
18,63602.801
19,63798.894
20,64099.820
21,64702.053
22,65098.763
23,65099.644
24,65303.589
25,65397.703
26,65399.049
27,65495.680
28,65503.462
29,65997.820
30,66797.351
31,66799.827
32,67300.294
33,67399.637
34,67499.503
35,67899.705
36,68096.834
37,68600.781
38,68602.049
39,68897.075
40,69098.353
41,69205.180
42,69397.464
43,69694.887
44,69997.777
45,70099.405
46,70398.093
47,71002.089
48,71302.165
49,71496.021
50,71799.884
51,71898.269
52,72395.016
53,72401.745
54,72402.226
55,72602.480
56,72691.982
57,73098.735
58,74000.250
59,74200.397
60,74201.865
61,74202.943
62,74203.535
63,74596.806
64,74999.838
65,76501.948
66,76701.855
67,76899.844
68,77400.484
69,77791.128
70,77893.040
71,77899.229
72,78601.258
73,79000.406
74,79091.106
75,79201.135
76,79800.416
77,80091.264
78,80297.029
79,80604.538
80,81596.837
81,81697.922
82,82497.849
83,82601.773
84,82998.782
85,83499.076
86,83798.846
87,83799.918
88,84099.255
89,84398.871
90,85695.828
91,88192.213
92,88792.018
93,89798.466
94,90801.030
95,91293.592
96,94395.875
97,95003.985
98,98398.142
99,104190.914
100,104190.914
