Percentage served,Time in ms
0,15203.833
1,16598.540
2,16893.276
3,17297.743
4,17795.765
5,18096.950
6,18199.674
7,18295.368
8,18805.879
9,18894.760
10,18907.184
11,19099.149
12,19199.805
13,19601.034
14,19802.477
15,19811.954
16,19999.370
17,20001.848
18,20486.893
19,20499.948
20,20510.895
21,20594.506
22,20806.794
23,20898.152
24,21000.273
25,21005.306
26,21100.650
27,21200.597
28,21298.150
29,21399.675
30,21496.763
31,21498.648
32,21504.326
33,21605.554
34,21713.188
35,21900.289
36,21904.977
37,21905.702
38,21993.612
39,22004.383
40,22399.645
41,22506.127
42,22804.460
43,23024.267
44,23201.009
45,23293.131
46,23297.530
47,23395.035
48,23405.553
49,23406.443
50,23494.764
51,23512.109
52,23594.202
53,23696.835
54,23697.566
55,23705.737
56,23799.974
57,23818.387
58,23898.456
59,24098.213
60,24102.677
61,24192.168
62,24206.067
63,24218.264
64,24293.842
65,24297.977
66,24299.956
67,24410.688
68,24501.039
69,24896.430
70,25288.745
71,25297.474
72,25401.348
73,25405.652
74,25494.848
75,25593.866
76,25607.298
77,25696.863
78,25705.989
79,25801.484
80,25875.721
81,25895.364
82,26001.257
83,26093.859
84,26292.813
85,26400.331
86,26499.000
87,26505.370
88,26700.660
89,27002.049
90,27204.136
91,27298.521
92,27499.832
93,27998.832
94,28695.588
95,28804.705
96,29007.541
97,29102.111
98,29488.701
99,29696.486
100,29696.486
