Percentage served,Time in ms
0,84.130
1,87.923
2,88.226
3,89.417
4,89.585
5,89.945
6,90.310
7,90.390
8,91.656
9,92.128
10,92.232
11,92.295
12,92.573
13,92.645
14,93.239
15,93.241
16,93.436
17,93.451
18,93.739
19,93.759
20,93.871
21,94.027
22,94.686
23,94.958
24,94.977
25,95.035
26,95.743
27,95.829
28,95.881
29,95.923
30,96.128
31,96.137
32,96.158
33,96.368
34,96.412
35,96.948
36,96.953
37,97.160
38,97.417
39,97.632
40,97.645
41,97.779
42,98.164
43,98.345
44,98.608
45,98.662
46,98.685
47,98.953
48,98.967
49,98.978
50,99.193
51,99.270
52,99.330
53,99.423
54,99.432
55,99.900
56,100.072
57,100.128
58,100.843
59,100.873
60,100.965
61,102.238
62,103.036
63,103.341
64,103.345
65,103.483
66,104.303
67,108.248
68,108.808
69,110.356
70,506.325
71,506.656
72,506.977
73,508.674
74,510.779
75,5023.068
76,5027.186
77,5028.121
78,5028.725
79,5108.988
80,5230.601
81,5262.953
82,5272.932
83,5273.431
84,5274.246
85,243570.812
86,243776.250
87,244885.680
88,245083.623
89,245386.540
90,264712.462
91,265017.292
92,265211.532
93,266325.990
94,266527.435
95,287733.332
96,287734.599
97,287735.818
98,287738.094
99,287775.314
100,287775.314
