Percentage served,Time in ms
0,58349.878
1,60208.307
2,60583.115
3,61508.857
4,61795.066
5,61901.481
6,61913.384
7,61995.241
8,62010.009
9,63594.929
10,63674.288
11,64396.158
12,64699.096
13,64956.290
14,66092.163
15,66553.293
16,67254.837
17,67906.157
18,67906.219
19,68349.371
20,68851.028
21,69197.839
22,69203.149
23,69601.921
24,70157.416
25,70167.649
26,70350.124
27,70600.230
28,72011.159
29,77593.464
30,80486.635
31,85991.440
32,86803.397
33,89686.756
34,94797.892
35,97093.902
36,98512.740
37,100487.852
38,101005.936
39,101999.718
40,102100.779
41,102206.803
42,102611.747
43,103606.790
44,104600.662
45,104997.786
46,105280.841
47,105597.230
48,105798.909
49,106188.360
50,106606.865
51,106614.116
52,106618.649
53,107097.012
54,107102.682
55,107196.031
56,107611.226
57,108102.341
58,108199.406
59,108204.240
60,108691.451
61,108699.729
62,108700.269
63,108810.161
64,108901.196
65,109378.162
66,109404.586
67,109489.505
68,109605.897
69,109783.244
70,110000.170
71,110101.016
72,110111.335
73,110510.887
74,110993.009
75,111098.709
76,111194.326
77,111389.378
78,112300.192
79,113999.644
80,114100.474
81,114800.599
82,115604.459
83,115807.301
84,115991.536
85,116818.650
86,117213.267
87,117407.635
88,117600.416
89,117701.659
90,118378.131
91,118494.281
92,119488.819
93,119501.732
94,119593.579
95,121195.941
96,121600.581
97,121798.898
98,124003.630
99,128596.264
100,128596.264
