Percentage served,Time in ms
0,23993.207
1,24998.949
2,25801.918
3,26411.244
4,27099.762
5,27285.232
6,28296.948
7,28710.556
8,28903.006
9,29403.733
10,29801.514
11,30023.823
12,30701.073
13,30800.414
14,30886.734
15,31403.764
16,31491.718
17,31497.071
18,31707.889
19,31802.716
20,31983.375
21,32185.031
22,32401.737
23,32491.795
24,32597.492
25,32692.497
26,32905.590
27,32988.269
28,32994.041
29,33075.277
30,33094.636
31,33105.075
32,33106.724
33,33202.797
34,33391.221
35,33497.500
36,33592.173
37,33602.329
38,33688.740
39,33692.744
40,33788.175
41,33795.557
42,33795.649
43,33898.173
44,33898.485
45,33901.450
46,33901.793
47,34000.885
48,34002.480
49,34007.147
50,34205.576
51,34222.324
52,34245.240
53,34276.707
54,34501.384
55,34508.545
56,34521.659
57,34600.064
58,34798.453
59,34886.966
60,35105.935
61,35302.578
62,35314.239
63,35413.319
64,35595.153
65,35597.462
66,35599.178
67,35614.419
68,35689.649
69,35698.229
70,36006.288
71,36150.318
72,36392.081
73,36400.875
74,36541.352
75,36653.831
76,36799.110
77,36838.695
78,36919.573
79,36991.447
80,37004.538
81,37006.268
82,37145.975
83,37194.738
84,37198.438
85,37290.032
86,37313.381
87,37439.800
88,37544.758
89,37796.663
90,37801.422
91,37994.037
92,38015.791
93,38146.304
94,38199.058
95,38205.231
96,38304.523
97,38392.284
98,38403.304
99,39005.056
100,39005.056
