Percentage served,Time in ms
0,49103.372
1,49495.058
2,50693.302
3,50839.480
4,51686.175
5,52105.383
6,54187.793
7,58709.803
8,60094.136
9,62211.360
10,64403.477
11,64798.220
12,65094.000
13,65897.907
14,67505.348
15,68207.495
16,71293.357
17,75796.583
18,76102.462
19,78688.594
20,79017.376
21,81501.355
22,82397.161
23,82996.595
24,83196.523
25,83595.555
26,83705.203
27,84984.698
28,85111.829
29,85390.627
30,85595.985
31,86194.089
32,86589.889
33,86797.322
34,86994.582
35,87997.154
36,88098.055
37,88548.281
38,88799.469
39,88805.783
40,88911.300
41,89101.509
42,89299.334
43,89405.800
44,89412.683
45,89704.084
46,89907.928
47,90092.518
48,90591.462
49,90607.457
50,91107.277
51,91997.460
52,92104.256
53,92392.502
54,92397.238
55,92910.272
56,93001.642
57,93083.749
58,93188.524
59,93203.377
60,93686.594
61,93697.239
62,94144.216
63,94335.035
64,94495.113
65,94806.276
66,94891.972
67,94892.687
68,95111.181
69,95497.523
70,95782.832
71,96114.174
72,96289.098
73,96785.869
74,96845.190
75,97105.839
76,97306.881
77,97599.136
78,97739.197
79,97792.545
80,97800.549
81,98020.212
82,98203.427
83,98383.920
84,98786.306
85,99346.868
86,99798.293
87,99847.973
88,99900.713
89,100644.664
90,100695.171
91,100810.747
92,101009.621
93,101202.489
94,101505.718
95,102836.074
96,104104.641
97,104300.716
98,106806.270
99,108515.595
100,108515.595
