Percentage served,Time in ms
0,39203.988
1,47895.626
2,48599.168
3,49992.317
4,55499.763
5,55895.659
6,57702.120
7,58084.747
8,58409.093
9,58799.431
10,59290.323
11,59297.426
12,59802.179
13,59806.492
14,59897.188
15,59901.786
16,59905.078
17,59986.822
18,60204.533
19,60696.948
20,60708.177
21,61402.094
22,61403.531
23,61598.758
24,61907.307
25,62392.722
26,62494.959
27,62511.153
28,62790.097
29,62910.787
30,63002.914
31,63197.358
32,63200.504
33,63202.876
34,63310.436
35,63388.137
36,63612.810
37,63801.656
38,63889.040
39,63909.230
40,64206.400
41,64397.932
42,64492.034
43,64604.192
44,64618.580
45,64878.369
46,64999.533
47,65005.867
48,65110.464
49,65310.334
50,65398.690
51,65503.029
52,65891.290
53,65892.231
54,65997.934
55,66091.901
56,66298.262
57,66500.666
58,66506.502
59,66508.989
60,66984.471
61,66998.090
62,67004.633
63,67153.252
64,67211.035
65,67291.501
66,67710.392
67,67805.422
68,68396.457
69,68506.445
70,68897.452
71,68906.876
72,68986.903
73,69102.392
74,69198.966
75,69504.302
76,69551.009
77,69688.412
78,69898.590
79,69990.834
80,70256.741
81,70300.467
82,70300.603
83,70493.623
84,70512.107
85,70791.528
86,70861.874
87,70862.025
88,70892.106
89,71095.602
90,71189.749
91,71196.573
92,71603.043
93,71895.197
94,72296.907
95,72405.376
96,72797.897
97,73495.386
98,75592.972
99,76695.627
100,76695.627
