Percentage served,Time in ms
0,53212.554
1,53393.217
2,57487.345
3,57813.975
4,58900.736
5,58990.217
6,59595.258
7,61557.265
8,61593.966
9,62705.257
10,62902.238
11,63010.728
12,63297.000
13,63800.397
14,64300.165
15,65300.303
16,65901.154
17,65901.399
18,65997.268
19,66303.554
20,66393.660
21,66599.057
22,66793.798
23,68593.478
24,68812.104
25,68892.305
26,68905.774
27,69090.968
28,69792.137
29,69985.917
30,70107.346
31,70107.457
32,70294.417
33,70406.433
34,71091.207
35,71095.193
36,71606.498
37,71795.480
38,72485.616
39,72707.165
40,73180.802
41,74700.436
42,75092.974
43,75385.707
44,78895.414
45,82096.191
46,88710.755
47,90596.392
48,91196.191
49,94610.765
50,97417.847
51,98088.771
52,98493.691
53,99308.330
54,99985.672
55,101389.604
56,101396.771
57,101611.310
58,102102.213
59,102107.528
60,103451.191
61,103892.251
62,103991.004
63,104007.245
64,104110.695
65,104297.014
66,104297.139
67,104302.955
68,104899.578
69,104900.907
70,105106.823
71,105986.214
72,106302.270
73,107089.698
74,107299.714
75,107312.567
76,107710.173
77,108911.933
78,109198.909
79,109300.188
80,109395.372
81,109595.635
82,109603.143
83,110793.212
84,110894.571
85,111305.975
86,112480.388
87,112686.138
88,114391.807
89,114801.249
90,114893.284
91,115810.248
92,116193.822
93,116704.889
94,117388.194
95,118601.771
96,120893.200
97,121609.520
98,121812.968
99,129018.160
100,129018.160
