Percentage served,Time in ms
0,36522.563
1,53633.832
2,72031.251
3,73812.969
4,83444.061
5,108108.058
6,118907.127
7,130775.624
8,130899.958
9,135006.697
10,139407.752
11,142274.106
12,143136.489
13,144152.416
14,155314.787
15,163478.099
16,170244.553
17,171407.450
18,171583.833
19,175839.911
20,176169.852
21,179688.243
22,180193.673
23,180655.115
24,180846.642
25,181072.705
26,183124.645
27,183202.378
28,184416.625
29,184549.247
30,185513.607
31,185613.883
32,186618.795
33,190495.199
34,193995.946
35,194177.999
36,196407.828
37,196516.839
38,198339.636
39,199488.714
40,199986.749
41,201683.547
42,201945.567
43,202278.917
44,203470.972
45,205132.845
46,205415.817
47,205864.381
48,207541.553
49,212691.904
50,213524.392
51,214430.469
52,215402.228
53,216012.583
54,217876.519
55,218306.502
56,218491.476
57,219391.078
58,219898.175
59,223736.371
60,225287.175
61,226190.396
62,226691.263
63,226692.576
64,229631.016
65,234386.044
66,235607.858
67,235689.682
68,235901.937
69,236469.880
70,236850.329
71,237017.609
72,237576.399
73,237576.495
74,237710.245
75,238462.544
76,238857.615
77,239880.962
78,243366.631
79,247165.885
80,248917.582
81,250657.479
82,253462.553
83,253580.129
84,255447.901
85,255580.330
86,256399.374
87,259890.846
88,259907.676
89,260293.015
90,260613.425
91,261678.407
92,262804.918
93,262978.384
94,263558.375
95,265681.336
96,292451.923
97,293008.842
98,293248.840
99,295380.936
100,295380.936
