Percentage served,Time in ms
0,19798.893
1,21193.592
2,25401.594
3,28096.310
4,29599.900
5,29907.294
6,36763.489
7,39195.691
8,45854.614
9,47602.240
10,56056.021
11,58597.587
12,58899.660
13,61903.018
14,63251.627
15,64899.337
16,66245.462
17,67300.276
18,67401.371
19,69694.899
20,70598.665
21,71897.317
22,73401.234
23,73634.789
24,74598.613
25,75404.293
26,75501.757
27,75598.571
28,76100.755
29,76600.840
30,77599.055
31,78106.489
32,78602.462
33,78902.902
34,78906.034
35,79099.301
36,79603.150
37,79995.468
38,79997.555
39,80250.370
40,80999.604
41,81001.772
42,81248.903
43,81594.232
44,81599.989
45,81699.450
46,81751.531
47,82097.543
48,82199.085
49,82392.630
50,82894.275
51,82946.151
52,83049.738
53,83599.196
54,83601.037
55,83700.659
56,84307.369
57,85500.276
58,86298.997
59,86398.057
60,86500.447
61,87998.402
62,88103.505
63,88299.154
64,89101.597
65,89403.904
66,89497.570
67,90800.280
68,90898.429
69,91948.845
70,92292.723
71,92299.527
72,92700.447
73,92795.292
74,93097.882
75,93298.497
76,93397.581
77,93442.868
78,93600.817
79,93601.751
80,94202.841
81,94300.483
82,94700.245
83,95801.872
84,96556.658
85,96698.096
86,96902.117
87,97001.229
88,97105.994
89,97297.047
90,99498.587
91,101098.959
92,101302.867
93,103501.401
94,104702.662
95,106195.192
96,106908.299
97,109291.035
98,109392.840
99,109795.258
100,109795.258
