Percentage served,Time in ms
0,10790.283
1,14905.780
2,15493.873
3,15578.509
4,15959.206
5,16844.906
6,16849.746
7,17200.215
8,17695.413
9,18091.098
10,18191.089
11,18401.762
12,19093.891
13,20001.633
14,21560.288
15,21561.367
16,22014.717
17,22904.874
18,23174.687
19,23265.496
20,23299.940
21,23686.676
22,23786.961
23,23829.952
24,23847.052
25,23859.947
26,24562.334
27,24706.729
28,24813.909
29,25055.533
30,26567.150
31,26598.597
32,26611.969
33,27519.620
34,27596.850
35,28046.443
36,28246.441
37,28332.187
38,28446.725
39,28580.714
40,28806.387
41,29103.864
42,29422.217
43,29886.365
44,30354.205
45,30494.430
46,31193.747
47,31700.605
48,33193.829
49,33561.914
50,33735.790
51,34000.442
52,34163.233
53,34500.034
54,35236.537
55,37207.727
56,37798.714
57,38182.246
58,38428.844
59,39251.103
60,39802.952
61,39985.601
62,42659.927
63,42729.226
64,42845.956
65,42902.856
66,43492.648
67,45052.549
68,45408.488
69,47555.007
70,48040.262
71,50143.866
72,50345.999
73,51075.640
74,52147.615
75,52884.158
76,58109.174
77,58222.515
78,58224.522
79,62441.337
80,62769.343
81,63091.969
82,64636.631
83,66661.578
84,67354.117
85,67682.112
86,68086.767
87,68807.732
88,69621.894
89,70982.086
90,72343.626
91,72497.432
92,74477.218
93,77820.520
94,77971.174
95,78450.798
96,79720.131
97,79808.918
98,80894.444
99,83591.099
100,83591.099
