Percentage served,Time in ms
0,1922.806
1,2924.950
2,3604.310
3,3752.373
4,3998.498
5,4023.303
6,4089.944
7,4097.727
8,4110.881
9,4116.229
10,4195.116
11,4293.888
12,4306.106
13,4392.373
14,4401.065
15,4499.675
16,4585.727
17,4604.491
18,4625.190
19,4631.641
20,4795.184
21,4882.618
22,4888.416
23,4893.076
24,4990.479
25,4992.822
26,5006.676
27,5278.106
28,5295.452
29,5300.284
30,5393.291
31,5472.624
32,5488.707
33,5506.879
34,5509.938
35,5596.563
36,5598.656
37,5603.066
38,5700.207
39,5700.665
40,5707.424
41,5711.885
42,5792.981
43,5800.256
44,5802.943
45,5803.776
46,5836.974
47,5894.786
48,5895.986
49,6001.735
50,6004.051
51,6004.471
52,6004.517
53,6103.061
54,6197.687
55,6202.996
56,6205.637
57,6209.958
58,6287.826
59,6394.022
60,6400.829
61,6406.536
62,6481.965
63,6489.661
64,6495.730
65,6500.801
66,6508.696
67,6600.793
68,6613.083
69,6651.325
70,6696.183
71,6698.433
72,6704.105
73,6998.599
74,7000.460
75,7010.210
76,7097.180
77,7098.587
78,7102.476
79,7202.380
80,7297.104
81,7300.940
82,7307.888
83,7502.429
84,7599.012
85,7700.113
86,7889.685
87,8001.445
88,8110.994
89,8142.925
90,8199.516
91,8391.172
92,8794.469
93,9108.151
94,9492.937
95,9500.145
96,9900.019
97,9911.966
98,11092.878
99,11709.147
100,11709.147
