Percentage served,Time in ms
0,5905.361
1,7262.939
2,7286.661
3,8518.293
4,8651.294
5,8759.604
6,8778.778
7,10593.491
8,11205.158
9,11234.459
10,11303.368
11,11331.935
12,11491.220
13,11601.292
14,11897.398
15,12367.179
16,12382.479
17,13099.672
18,13183.787
19,13595.840
20,14379.507
21,14395.651
22,14398.104
23,14597.639
24,15003.383
25,15015.574
26,15330.121
27,15397.082
28,15605.143
29,16159.041
30,16271.762
31,16442.514
32,16488.407
33,16508.458
34,16830.557
35,16908.205
36,17417.895
37,17593.037
38,17689.887
39,18299.381
40,18305.755
41,18318.442
42,18386.049
43,18440.229
44,18454.650
45,18529.220
46,18710.876
47,19091.036
48,19192.357
49,19424.622
50,19616.357
51,19649.945
52,19719.880
53,19902.581
54,20201.454
55,20514.056
56,20808.653
57,21010.411
58,21111.714
59,21168.604
60,21399.827
61,21494.968
62,21845.357
63,21941.219
64,21942.706
65,22058.270
66,22097.824
67,22256.196
68,22392.297
69,22420.756
70,22557.046
71,22592.292
72,22593.695
73,22686.258
74,22747.981
75,23006.880
76,23077.919
77,23840.144
78,24194.377
79,24739.141
80,25103.626
81,25612.503
82,26166.728
83,26634.056
84,26863.416
85,27700.494
86,28274.644
87,28300.042
88,28329.671
89,28490.896
90,28997.244
91,29154.647
92,29795.503
93,30698.677
94,31219.687
95,31554.615
96,32059.955
97,33465.097
98,34719.076
99,36941.093
100,36941.093
