Percentage served,Time in ms
0,7758.464
1,8692.844
2,11163.775
3,12099.149
4,12950.414
5,13049.196
6,13063.233
7,13163.108
8,13818.001
9,14692.028
10,15372.917
11,15702.928
12,15738.024
13,15922.857
14,16585.817
15,16700.258
16,16797.563
17,17785.394
18,17961.487
19,18698.313
20,20216.897
21,20668.264
22,20790.227
23,21206.142
24,21221.510
25,21335.349
26,21800.233
27,21824.408
28,22412.937
29,22756.731
30,22882.333
31,23005.055
32,23016.705
33,23204.116
34,23436.550
35,23540.731
36,23549.463
37,23769.776
38,24103.216
39,24293.670
40,24533.196
41,25208.862
42,25227.380
43,25241.869
44,25682.987
45,25769.938
46,26354.898
47,26592.379
48,26702.203
49,26715.571
50,27094.388
51,27259.422
52,27793.034
53,28309.048
54,28613.776
55,29294.538
56,29380.069
57,29538.090
58,29655.169
59,29660.080
60,29926.114
61,30007.823
62,30318.647
63,30358.845
64,30545.785
65,30579.115
66,30584.663
67,30812.111
68,30909.453
69,31315.836
70,31467.031
71,31587.360
72,31712.100
73,32143.678
74,32982.932
75,33012.052
76,33401.721
77,33537.633
78,34291.535
79,34689.225
80,35850.689
81,36240.997
82,36304.993
83,36311.708
84,39092.205
85,40042.491
86,40125.656
87,40846.901
88,42397.361
89,42443.764
90,49117.507
91,49196.474
92,51200.199
93,54310.346
94,57291.137
95,58842.641
96,59708.920
97,68428.463
98,68631.247
99,74079.999
100,74079.999
