Percentage served,Time in ms
0,1166.703
1,3184.612
2,3280.398
3,3305.468
4,3401.081
5,3805.036
6,3809.989
7,3993.866
8,4205.227
9,4295.123
10,4490.769
11,4493.871
12,4509.758
13,4597.402
14,4695.769
15,4724.183
16,4785.390
17,4801.414
18,4849.281
19,4896.251
20,4897.125
21,4987.962
22,5006.557
23,5007.004
24,5095.989
25,5101.945
26,5147.257
27,5197.422
28,5200.076
29,5205.182
30,5248.623
31,5278.088
32,5282.916
33,5299.456
34,5354.867
35,5394.244
36,5395.831
37,5397.192
38,5397.998
39,5403.031
40,5406.287
41,5420.418
42,5500.892
43,5501.161
44,5511.029
45,5607.682
46,5611.270
47,5646.657
48,5701.376
49,5789.683
50,5798.233
51,5805.469
52,5866.151
53,5888.732
54,5897.957
55,5899.240
56,5989.230
57,5996.682
58,6000.466
59,6000.656
60,6011.084
61,6041.922
62,6199.317
63,6201.685
64,6205.595
65,6208.360
66,6297.179
67,6303.977
68,6307.968
69,6391.768
70,6393.110
71,6404.748
72,6408.663
73,6491.685
74,6505.257
75,6510.791
76,6582.153
77,6690.561
78,6785.265
79,6798.208
80,7098.020
81,7111.621
82,7193.663
83,7208.663
84,7290.481
85,7360.724
86,7385.944
87,7396.629
88,7606.575
89,7797.593
90,7900.267
91,8104.989
92,8505.595
93,8507.998
94,8548.477
95,9005.687
96,9150.633
97,10391.761
98,10899.870
99,12500.263
100,12500.263
