Percentage served,Time in ms
0,1477.743
1,1861.090
2,1912.010
3,2204.144
4,2244.387
5,2674.135
6,2711.525
7,2802.624
8,2833.097
9,2901.628
10,3098.781
11,3401.498
12,3404.398
13,3792.653
14,3892.935
15,4003.665
16,4203.184
17,4209.530
18,4272.420
19,4288.028
20,4352.574
21,4409.703
22,4458.095
23,4678.933
24,4722.876
25,4744.600
26,4799.663
27,4832.231
28,4844.058
29,4903.209
30,5008.876
31,5201.310
32,5429.031
33,5472.408
34,5531.292
35,5615.120
36,5682.057
37,5693.276
38,5701.592
39,5720.843
40,5791.382
41,5895.959
42,5900.171
43,5903.465
44,5904.544
45,5906.924
46,6028.287
47,6129.118
48,6207.779
49,6212.073
50,6345.907
51,6594.866
52,6809.523
53,6936.694
54,6956.280
55,6997.842
56,7198.073
57,7343.249
58,7454.174
59,7549.838
60,7603.777
61,7660.455
62,7698.053
63,7880.761
64,7891.179
65,8115.253
66,8475.239
67,8502.335
68,8597.998
69,8600.916
70,8612.957
71,8703.853
72,8727.468
73,8957.302
74,9002.353
75,9183.589
76,9581.453
77,9645.494
78,9673.472
79,9687.187
80,9704.346
81,9805.016
82,10100.471
83,10382.576
84,10385.090
85,10537.103
86,10622.725
87,10794.142
88,10888.752
89,11011.799
90,11205.356
91,11309.496
92,11447.434
93,12423.320
94,13190.558
95,14198.050
96,15100.607
97,15501.647
98,15904.214
99,18591.637
100,18591.637
