Percentage served,Time in ms
0,997.342
1,1119.317
2,1131.476
3,1293.803
4,1366.342
5,1484.018
6,1494.711
7,1542.139
8,1606.014
9,1692.446
10,1692.727
11,1699.696
12,1905.119
13,1984.954
14,1988.699
15,1989.624
16,1993.628
17,1997.253
18,1999.686
19,2100.917
20,2194.567
21,2196.756
22,2285.647
23,2390.684
24,2390.918
25,2398.895
26,2499.959
27,2514.581
28,2602.484
29,2648.084
30,2721.186
31,2808.909
32,2812.939
33,2892.844
34,2898.166
35,2902.439
36,2907.191
37,2910.544
38,2918.189
39,2956.785
40,3096.792
41,3096.887
42,3195.160
43,3198.719
44,3200.681
45,3208.001
46,3305.020
47,3308.906
48,3392.113
49,3397.761
50,3400.655
51,3489.686
52,3501.784
53,3591.418
54,3717.830
55,3895.260
56,4191.189
57,4192.012
58,4205.528
59,4209.275
60,4405.165
61,4498.480
62,4566.048
63,4608.393
64,4610.951
65,4799.859
66,4894.181
67,4909.982
68,5010.525
69,5016.031
70,5016.596
71,5093.500
72,5198.358
73,5292.099
74,5387.965
75,5391.543
76,5401.375
77,5404.228
78,5582.592
79,5704.268
80,5752.318
81,5776.120
82,5805.629
83,5892.614
84,5908.719
85,5979.893
86,6000.580
87,6186.519
88,6313.433
89,6516.411
90,6574.900
91,6582.373
92,6712.162
93,6714.512
94,6990.564
95,8005.294
96,8029.011
97,8205.616
98,10584.871
99,11215.002
100,11215.002
