Percentage served,Time in ms
0,3781.590
1,3902.503
2,4046.420
3,5259.442
4,5379.936
5,5488.334
6,6261.076
7,6660.950
8,6779.288
9,7052.676
10,7104.807
11,7349.686
12,7801.729
13,7943.657
14,8147.089
15,8178.616
16,8305.142
17,8895.798
18,9196.919
19,9289.264
20,9476.023
21,9537.815
22,9617.623
23,9666.465
24,9709.800
25,9802.987
26,9882.643
27,9997.676
28,10007.578
29,10496.633
30,10651.638
31,10813.314
32,10900.255
33,10953.426
34,11344.373
35,11613.502
36,11614.021
37,11785.307
38,11894.433
39,12234.967
40,12531.510
41,13055.722
42,13098.795
43,13111.224
44,13378.553
45,13392.535
46,13445.742
47,13763.095
48,13999.920
49,14158.164
50,14160.745
51,14192.379
52,14208.297
53,14419.758
54,14460.475
55,14503.971
56,14663.815
57,14674.051
58,14701.561
59,14914.446
60,14991.690
61,15015.871
62,15082.924
63,15305.058
64,15616.131
65,15644.690
66,15889.249
67,16196.650
68,16201.163
69,16211.559
70,16226.580
71,17327.727
72,17400.088
73,17708.834
74,17902.800
75,18262.868
76,18305.802
77,18752.526
78,18845.342
79,18909.882
80,18969.421
81,19050.782
82,19299.242
83,20650.428
84,20919.358
85,20943.122
86,21336.967
87,21926.820
88,22358.396
89,22370.498
90,22435.642
91,22704.338
92,23363.024
93,24166.655
94,25093.042
95,25801.688
96,26159.782
97,28245.179
98,29086.727
99,33229.813
100,33229.813
